,sentiment,content
16,love,@annarosekerr agreed
94,love,@RobertF3 correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha
122,love,@freepbx sounds good. Appreciate the suggestion. Been a week now and we're still offline  Time to ask for a refund...
131,love,Pats in philly at 2 am. I love it. Mmm cheesesteak.  Miss my boyfriend   but I love vacation.
151,love,"@NisforNeemah thanks neemah. I'm gonna be soooo close to you and izzy, yet so far"
210,love,@bobbyedner i missed the game
397,love,@neyoofficial: love the song &quot;together&quot;. that's &quot;his&quot; song for me...well i think it's still is
408,love,I want to go to Peru this summer ahhhhhhh! Hopefully! Yesyesyes! I miss it over there!!!
438,love,Pug just woke me from an incredible sleep!
439,love,@ddlovato i can`t wait to hear your new album. i`m sure will be amazing.please just replay to me  i love you so much!!!!
462,love,there's really no android twitter app of Tweetie's calibre
491,love,"The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now"
619,love,Photo: martwo: OMG i love you!!!! i accadentally deleted this photo  yay hes SO beautiful http://tumblr.com/xvd1wankt
651,love,"good time Rocking out @ open mic, thanks 4 all the love n support. Now working on Business plan presentation. No CG again 2nite"
660,love,"@IkramShahnawaz Oh I love 'em, but when I think about the kind of preservatives they're using to stay &quot;just-baked&quot; it kinda makes me sick"
682,love,"@heresmyhello92 LOL, very true. Maybe next year. I loooved that siggy, and I don't remember what the password for the mod thing was  Cake?"
696,love,Hahaha! Alright  ..
702,love,wants see my friends  ;-) http://plurk.com/p/wxnwa
732,love,@Anna_Viola love it! By the way I didn't end up having time to go this week  I'm sooooo sorry! Next week for sure!
784,love,big day 2day the xt launch was amazing! so much free stuff thanx 2 the edge and telecom! found the phone i want...cnt afford it yet tho
795,love,"@daveockun I hate you , Fleetwood is my favorite band...I'm so jealous  ok I still love you haha"
800,love,i no i no bt i had only been a gamer for like 2 years when i made that attempt  lol yea i luvd F1 to an extent @yellowshirts
863,love,I wish I was going to we love sounds
877,love,@kirstiealley funny u havent showed me any love yet at all
879,love,@AnnetteStatus I luv urs! admitting niley with a kiss (: but then they change their minds  haha &amp; demi/sterling (: not jemi but still cute
929,love,"@jamasweetie06 see...u shouldn't be comin' 4 the city, u should be comin' 4 me"
943,love,"I can't wait till it's Sunday, a new episode of Supernatural but then there are only 6 episodes left now"
974,love,@markiti The sweety sat on the table this morning...Just woke up! Very sweet! Oh...btw...I think i'll be home around 7 pm!!!  Xxx
